,Position,Age,Overall,Preferred Foot,Body Type,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
5894,ST,32.0,69.0,0.0,0.0,70.0,165.0,67.0,70.0,62.0,61.0,65.0,63.0,57.0,54.0,42.0,64.0,77.0,75.0,76.0,69.0,63.0,71.0,76.0,71.0,75.0,66.0,53.0,32.0,70.0,58.0,75.0,66.0,35.0,25.0,21.0
5895,CDM,33.0,69.0,0.0,1.0,69.0,161.0,61.0,65.0,53.0,67.0,69.0,63.0,62.0,59.0,73.0,66.0,69.0,69.0,60.0,78.0,68.0,88.0,75.0,84.0,72.0,86.0,81.0,69.0,62.0,72.0,56.0,77.0,30.0,74.0,69.0
5896,CB,27.0,69.0,0.0,0.0,72.0,174.0,34.0,42.0,66.0,59.0,20.0,44.0,39.0,27.0,58.0,54.0,68.0,69.0,59.0,68.0,63.0,23.0,91.0,71.0,76.0,24.0,65.0,72.0,39.0,59.0,39.0,69.0,70.0,67.0,65.0
5897,LB,21.0,69.0,1.0,0.0,69.0,154.0,69.0,27.0,54.0,65.0,41.0,64.0,32.0,29.0,63.0,69.0,82.0,76.0,76.0,64.0,77.0,54.0,66.0,67.0,63.0,28.0,72.0,61.0,59.0,59.0,40.0,64.0,70.0,72.0,67.0
5898,CM,30.0,69.0,0.0,1.0,69.0,143.0,76.0,58.0,49.0,71.0,67.0,68.0,73.0,71.0,68.0,71.0,85.0,89.0,88.0,65.0,83.0,54.0,60.0,77.0,53.0,69.0,72.0,65.0,65.0,72.0,70.0,68.0,59.0,49.0,46.0
5899,CM,23.0,69.0,1.0,1.0,73.0,170.0,63.0,47.0,55.0,73.0,44.0,68.0,42.0,37.0,67.0,72.0,71.0,76.0,68.0,69.0,50.0,62.0,65.0,83.0,67.0,49.0,69.0,62.0,57.0,65.0,46.0,55.0,57.0,66.0,56.0
5901,RB,24.0,69.0,0.0,1.0,72.0,165.0,68.0,38.0,60.0,68.0,39.0,67.0,52.0,43.0,60.0,68.0,68.0,83.0,70.0,65.0,54.0,59.0,55.0,83.0,60.0,40.0,64.0,60.0,59.0,56.0,45.0,60.0,60.0,65.0,67.0
5902,LB,32.0,69.0,1.0,0.0,69.0,154.0,70.0,52.0,57.0,66.0,61.0,60.0,60.0,60.0,64.0,65.0,68.0,71.0,71.0,69.0,72.0,66.0,73.0,70.0,72.0,61.0,65.0,66.0,56.0,64.0,63.0,63.0,68.0,68.0,68.0
5903,CM,33.0,69.0,1.0,1.0,72.0,176.0,71.0,62.0,53.0,71.0,60.0,66.0,73.0,72.0,72.0,67.0,64.0,63.0,63.0,67.0,69.0,61.0,55.0,76.0,68.0,64.0,65.0,65.0,64.0,67.0,58.0,72.0,72.0,67.0,63.0
5904,CB,30.0,69.0,1.0,0.0,73.0,176.0,48.0,34.0,68.0,64.0,46.0,50.0,47.0,41.0,54.0,51.0,49.0,53.0,57.0,63.0,48.0,64.0,66.0,67.0,81.0,53.0,69.0,71.0,31.0,44.0,55.0,64.0,61.0,72.0,70.0
5905,LB,20.0,69.0,1.0,0.0,72.0,172.0,70.0,20.0,68.0,69.0,26.0,47.0,42.0,41.0,42.0,70.0,63.0,58.0,48.0,69.0,54.0,28.0,64.0,61.0,63.0,21.0,52.0,66.0,42.0,33.0,30.0,51.0,68.0,74.0,72.0
5906,RM,25.0,69.0,0.0,1.0,70.0,154.0,66.0,61.0,58.0,63.0,46.0,71.0,61.0,51.0,57.0,69.0,75.0,75.0,78.0,67.0,70.0,58.0,86.0,71.0,59.0,49.0,59.0,32.0,71.0,67.0,44.0,64.0,24.0,15.0,21.0
5908,GK,22.0,69.0,0.0,1.0,72.0,159.0,15.0,20.0,15.0,24.0,17.0,15.0,13.0,18.0,27.0,15.0,45.0,46.0,39.0,68.0,59.0,21.0,59.0,38.0,45.0,15.0,19.0,23.0,20.0,50.0,15.0,50.0,8.0,17.0,13.0
5909,CDM,28.0,69.0,0.0,0.0,74.0,179.0,63.0,33.0,55.0,64.0,43.0,52.0,49.0,54.0,64.0,64.0,60.0,57.0,58.0,70.0,59.0,54.0,77.0,76.0,83.0,53.0,81.0,66.0,53.0,64.0,56.0,61.0,68.0,67.0,66.0
5910,LM,27.0,69.0,1.0,0.0,72.0,172.0,68.0,70.0,55.0,66.0,65.0,68.0,64.0,66.0,62.0,69.0,72.0,73.0,71.0,60.0,68.0,70.0,60.0,68.0,72.0,70.0,50.0,33.0,69.0,67.0,68.0,61.0,45.0,32.0,25.0
5911,ST,24.0,69.0,0.0,1.0,73.0,148.0,40.0,77.0,74.0,57.0,45.0,63.0,42.0,33.0,44.0,67.0,64.0,56.0,57.0,67.0,71.0,71.0,73.0,63.0,59.0,66.0,33.0,17.0,71.0,48.0,67.0,58.0,20.0,21.0,24.0
5912,CDM,31.0,69.0,0.0,1.0,69.0,146.0,69.0,41.0,57.0,69.0,34.0,67.0,72.0,66.0,66.0,68.0,66.0,63.0,75.0,72.0,77.0,68.0,75.0,78.0,65.0,68.0,68.0,70.0,68.0,72.0,40.0,72.0,56.0,69.0,66.0
5913,CB,23.0,69.0,0.0,0.0,68.0,159.0,38.0,37.0,64.0,45.0,42.0,38.0,46.0,37.0,37.0,46.0,70.0,66.0,60.0,65.0,78.0,52.0,77.0,60.0,70.0,33.0,59.0,68.0,40.0,35.0,54.0,57.0,73.0,78.0,71.0
5914,CB,24.0,69.0,0.0,0.0,76.0,185.0,40.0,44.0,70.0,65.0,34.0,51.0,64.0,67.0,68.0,62.0,50.0,50.0,60.0,60.0,55.0,76.0,72.0,69.0,79.0,63.0,66.0,66.0,36.0,59.0,44.0,63.0,72.0,67.0,65.0
5917,CB,20.0,69.0,0.0,0.0,72.0,203.0,40.0,17.0,67.0,62.0,26.0,44.0,27.0,30.0,52.0,57.0,61.0,64.0,53.0,65.0,60.0,36.0,72.0,55.0,77.0,16.0,62.0,66.0,27.0,41.0,38.0,60.0,67.0,71.0,67.0
5918,LB,20.0,69.0,1.0,1.0,74.0,183.0,70.0,26.0,65.0,64.0,33.0,61.0,62.0,34.0,65.0,66.0,62.0,75.0,56.0,65.0,59.0,45.0,64.0,81.0,72.0,36.0,68.0,66.0,47.0,45.0,42.0,57.0,62.0,67.0,68.0
5920,LM,27.0,69.0,0.0,1.0,68.0,141.0,62.0,68.0,56.0,66.0,64.0,69.0,65.0,43.0,52.0,67.0,90.0,87.0,81.0,64.0,82.0,71.0,90.0,62.0,35.0,59.0,60.0,42.0,65.0,68.0,59.0,67.0,49.0,25.0,26.0
5921,GK,28.0,69.0,0.0,0.0,78.0,187.0,11.0,15.0,11.0,22.0,10.0,13.0,14.0,13.0,33.0,21.0,50.0,50.0,48.0,71.0,28.0,21.0,74.0,28.0,66.0,13.0,23.0,26.0,18.0,36.0,20.0,61.0,14.0,11.0,14.0
5922,LB,29.0,69.0,0.0,0.0,68.0,165.0,69.0,18.0,68.0,59.0,31.0,63.0,46.0,50.0,53.0,65.0,72.0,68.0,72.0,63.0,73.0,59.0,43.0,67.0,55.0,49.0,53.0,66.0,59.0,48.0,43.0,50.0,68.0,73.0,70.0
5923,RB,21.0,69.0,0.0,0.0,70.0,154.0,67.0,29.0,53.0,63.0,47.0,67.0,55.0,36.0,54.0,66.0,73.0,72.0,68.0,64.0,69.0,45.0,64.0,69.0,54.0,45.0,63.0,65.0,63.0,48.0,43.0,64.0,69.0,72.0,74.0
5924,RB,23.0,69.0,0.0,1.0,68.0,150.0,62.0,42.0,54.0,60.0,29.0,67.0,53.0,45.0,46.0,65.0,86.0,89.0,83.0,66.0,77.0,51.0,76.0,78.0,63.0,45.0,64.0,68.0,48.0,53.0,44.0,65.0,65.0,66.0,65.0
5925,RM,20.0,69.0,0.0,1.0,74.0,165.0,56.0,63.0,61.0,65.0,50.0,80.0,63.0,60.0,59.0,81.0,70.0,70.0,75.0,58.0,68.0,63.0,55.0,63.0,67.0,59.0,56.0,49.0,62.0,64.0,53.0,52.0,47.0,54.0,55.0
5926,RM,27.0,69.0,0.0,0.0,70.0,143.0,61.0,66.0,64.0,67.0,55.0,69.0,56.0,44.0,60.0,66.0,83.0,77.0,78.0,64.0,84.0,63.0,80.0,74.0,61.0,61.0,73.0,22.0,64.0,67.0,33.0,53.0,31.0,19.0,21.0
5927,CAM,29.0,69.0,0.0,0.0,73.0,168.0,63.0,62.0,64.0,71.0,51.0,70.0,62.0,58.0,68.0,73.0,66.0,63.0,67.0,70.0,55.0,74.0,71.0,79.0,76.0,65.0,65.0,56.0,62.0,69.0,63.0,70.0,65.0,68.0,62.0
5929,GK,20.0,69.0,1.0,0.0,76.0,187.0,12.0,11.0,11.0,30.0,10.0,17.0,13.0,12.0,27.0,23.0,43.0,42.0,42.0,67.0,42.0,23.0,56.0,34.0,65.0,12.0,25.0,18.0,10.0,42.0,19.0,37.0,20.0,11.0,12.0
5930,CB,26.0,69.0,0.0,0.0,74.0,187.0,43.0,34.0,68.0,66.0,34.0,33.0,36.0,42.0,71.0,51.0,64.0,65.0,59.0,66.0,60.0,84.0,74.0,68.0,78.0,71.0,77.0,61.0,42.0,49.0,54.0,62.0,67.0,68.0,74.0
5931,GK,24.0,69.0,0.0,0.0,73.0,172.0,11.0,7.0,10.0,19.0,8.0,9.0,11.0,12.0,13.0,20.0,20.0,29.0,31.0,63.0,51.0,25.0,64.0,34.0,54.0,6.0,21.0,11.0,8.0,40.0,15.0,47.0,11.0,9.0,10.0
5932,CB,28.0,69.0,0.0,0.0,72.0,163.0,29.0,18.0,65.0,55.0,24.0,39.0,22.0,22.0,50.0,52.0,43.0,61.0,64.0,68.0,60.0,47.0,64.0,68.0,72.0,32.0,72.0,70.0,21.0,25.0,32.0,65.0,72.0,68.0,74.0
5933,LM,19.0,69.0,0.0,0.0,73.0,170.0,68.0,64.0,32.0,69.0,53.0,71.0,66.0,63.0,66.0,74.0,81.0,79.0,77.0,49.0,67.0,71.0,65.0,69.0,69.0,69.0,65.0,46.0,48.0,69.0,57.0,67.0,50.0,46.0,48.0
5934,GK,32.0,69.0,0.0,0.0,74.0,187.0,9.0,10.0,13.0,29.0,12.0,12.0,17.0,19.0,22.0,32.0,38.0,42.0,31.0,60.0,30.0,29.0,46.0,19.0,71.0,7.0,29.0,11.0,10.0,34.0,20.0,28.0,9.0,17.0,15.0
5935,LM,28.0,69.0,1.0,1.0,66.0,139.0,72.0,55.0,28.0,67.0,54.0,71.0,54.0,52.0,67.0,68.0,77.0,68.0,83.0,67.0,92.0,60.0,74.0,83.0,52.0,58.0,68.0,70.0,63.0,58.0,53.0,60.0,63.0,65.0,67.0
5937,CB,26.0,69.0,0.0,0.0,71.0,172.0,52.0,25.0,62.0,47.0,22.0,20.0,35.0,46.0,48.0,51.0,65.0,42.0,63.0,70.0,57.0,60.0,73.0,54.0,70.0,27.0,77.0,75.0,21.0,46.0,45.0,66.0,71.0,70.0,69.0
5941,ST,35.0,69.0,0.0,1.0,73.0,172.0,52.0,70.0,75.0,65.0,76.0,60.0,68.0,55.0,56.0,63.0,55.0,52.0,62.0,70.0,56.0,69.0,76.0,52.0,74.0,62.0,60.0,36.0,75.0,61.0,67.0,70.0,24.0,34.0,22.0
5942,RM,21.0,69.0,0.0,1.0,71.0,154.0,72.0,66.0,45.0,67.0,52.0,70.0,68.0,41.0,65.0,70.0,74.0,75.0,69.0,62.0,68.0,74.0,67.0,54.0,56.0,72.0,45.0,20.0,67.0,64.0,62.0,65.0,30.0,26.0,35.0
5944,CDM,26.0,69.0,0.0,0.0,68.0,165.0,52.0,53.0,47.0,70.0,49.0,69.0,39.0,55.0,67.0,66.0,65.0,67.0,81.0,70.0,78.0,60.0,80.0,73.0,77.0,60.0,78.0,68.0,60.0,68.0,44.0,76.0,66.0,67.0,58.0
5945,LM,24.0,69.0,0.0,0.0,71.0,163.0,58.0,65.0,45.0,69.0,56.0,68.0,63.0,60.0,67.0,68.0,66.0,63.0,69.0,62.0,69.0,70.0,66.0,76.0,66.0,71.0,60.0,60.0,62.0,73.0,64.0,70.0,57.0,60.0,53.0
5946,LM,23.0,69.0,0.0,1.0,70.0,165.0,68.0,66.0,52.0,67.0,63.0,68.0,61.0,59.0,60.0,66.0,75.0,77.0,74.0,58.0,74.0,61.0,72.0,75.0,70.0,59.0,46.0,46.0,67.0,66.0,59.0,65.0,36.0,47.0,47.0
5947,LB,24.0,69.0,1.0,1.0,73.0,154.0,71.0,27.0,68.0,69.0,43.0,62.0,64.0,32.0,68.0,73.0,68.0,74.0,66.0,60.0,67.0,42.0,70.0,51.0,66.0,23.0,64.0,68.0,54.0,51.0,38.0,66.0,65.0,68.0,73.0
5948,CM,27.0,69.0,1.0,0.0,72.0,174.0,66.0,56.0,46.0,74.0,66.0,73.0,68.0,70.0,70.0,72.0,61.0,55.0,62.0,73.0,58.0,76.0,55.0,69.0,68.0,75.0,49.0,34.0,66.0,70.0,70.0,63.0,46.0,49.0,52.0
5949,RB,21.0,69.0,0.0,1.0,69.0,141.0,69.0,35.0,62.0,66.0,25.0,69.0,50.0,31.0,60.0,68.0,77.0,72.0,69.0,60.0,81.0,31.0,74.0,66.0,59.0,41.0,70.0,64.0,60.0,48.0,32.0,66.0,70.0,70.0,69.0
5950,ST,36.0,69.0,0.0,2.0,70.0,181.0,68.0,72.0,78.0,74.0,59.0,59.0,62.0,62.0,59.0,68.0,64.0,48.0,68.0,67.0,73.0,76.0,92.0,29.0,77.0,65.0,80.0,45.0,62.0,41.0,79.0,68.0,27.0,17.0,16.0
5951,LB,25.0,69.0,1.0,0.0,72.0,154.0,68.0,26.0,63.0,66.0,44.0,59.0,58.0,63.0,65.0,69.0,70.0,68.0,61.0,66.0,64.0,65.0,64.0,77.0,66.0,51.0,65.0,65.0,63.0,59.0,27.0,66.0,70.0,67.0,65.0
5953,LM,18.0,69.0,0.0,1.0,73.0,146.0,55.0,70.0,67.0,61.0,62.0,69.0,63.0,41.0,55.0,66.0,83.0,83.0,75.0,59.0,69.0,70.0,67.0,59.0,59.0,66.0,48.0,22.0,65.0,60.0,60.0,66.0,30.0,26.0,24.0
5954,RB,29.0,69.0,0.0,1.0,67.0,143.0,68.0,52.0,52.0,65.0,52.0,66.0,48.0,41.0,62.0,69.0,79.0,77.0,76.0,63.0,77.0,64.0,73.0,79.0,57.0,56.0,70.0,64.0,60.0,54.0,52.0,62.0,66.0,67.0,65.0
5955,CB,32.0,69.0,0.0,0.0,74.0,190.0,42.0,44.0,72.0,59.0,32.0,48.0,40.0,46.0,66.0,54.0,48.0,48.0,36.0,59.0,61.0,56.0,85.0,50.0,82.0,44.0,90.0,68.0,40.0,44.0,49.0,57.0,63.0,62.0,62.0
5956,LB,32.0,69.0,1.0,0.0,70.0,161.0,72.0,37.0,49.0,66.0,30.0,59.0,60.0,26.0,70.0,65.0,75.0,76.0,76.0,65.0,69.0,49.0,81.0,78.0,69.0,35.0,65.0,66.0,61.0,55.0,51.0,55.0,68.0,62.0,69.0
5957,RB,32.0,69.0,0.0,0.0,71.0,174.0,75.0,31.0,57.0,58.0,59.0,49.0,74.0,31.0,59.0,59.0,69.0,78.0,68.0,64.0,65.0,58.0,70.0,76.0,82.0,54.0,69.0,65.0,70.0,43.0,33.0,67.0,69.0,72.0,68.0
5959,CAM,26.0,69.0,0.0,0.0,70.0,163.0,70.0,62.0,56.0,72.0,63.0,67.0,66.0,62.0,75.0,68.0,70.0,73.0,76.0,62.0,62.0,67.0,71.0,68.0,52.0,56.0,45.0,59.0,67.0,71.0,74.0,73.0,29.0,50.0,46.0
5960,LM,23.0,69.0,0.0,0.0,69.0,168.0,71.0,64.0,62.0,70.0,54.0,67.0,61.0,59.0,66.0,64.0,82.0,90.0,85.0,56.0,73.0,65.0,59.0,79.0,71.0,55.0,41.0,26.0,62.0,55.0,68.0,64.0,39.0,32.0,34.0
5962,LM,31.0,69.0,0.0,1.0,68.0,165.0,66.0,62.0,46.0,63.0,56.0,72.0,71.0,72.0,53.0,67.0,77.0,78.0,77.0,63.0,83.0,60.0,69.0,79.0,63.0,67.0,45.0,31.0,62.0,68.0,63.0,53.0,28.0,23.0,19.0
5963,RB,28.0,69.0,0.0,0.0,66.0,148.0,63.0,21.0,53.0,64.0,21.0,57.0,35.0,30.0,59.0,61.0,82.0,81.0,82.0,63.0,83.0,26.0,72.0,82.0,58.0,28.0,58.0,63.0,43.0,37.0,36.0,65.0,66.0,70.0,66.0
5964,CAM,34.0,69.0,0.0,0.0,72.0,172.0,62.0,67.0,64.0,68.0,56.0,69.0,66.0,54.0,54.0,70.0,62.0,52.0,63.0,78.0,68.0,58.0,65.0,53.0,66.0,53.0,56.0,37.0,73.0,75.0,66.0,77.0,30.0,38.0,31.0
5966,CM,27.0,69.0,0.0,0.0,70.0,159.0,64.0,62.0,67.0,71.0,63.0,69.0,69.0,63.0,69.0,73.0,72.0,72.0,77.0,68.0,69.0,72.0,67.0,65.0,62.0,66.0,57.0,65.0,69.0,68.0,61.0,65.0,66.0,57.0,51.0
5967,ST,28.0,69.0,0.0,0.0,74.0,194.0,45.0,68.0,70.0,60.0,63.0,60.0,65.0,52.0,49.0,65.0,59.0,70.0,60.0,67.0,55.0,73.0,74.0,69.0,87.0,64.0,74.0,31.0,71.0,57.0,57.0,69.0,43.0,22.0,21.0
5972,ST,24.0,69.0,0.0,1.0,74.0,181.0,50.0,69.0,67.0,62.0,67.0,66.0,51.0,38.0,48.0,68.0,74.0,79.0,67.0,64.0,62.0,68.0,76.0,67.0,75.0,65.0,51.0,21.0,67.0,47.0,61.0,66.0,25.0,18.0,20.0
5973,CM,28.0,69.0,0.0,1.0,73.0,163.0,66.0,59.0,42.0,72.0,47.0,65.0,68.0,61.0,69.0,67.0,63.0,63.0,56.0,65.0,64.0,70.0,49.0,79.0,69.0,72.0,77.0,66.0,56.0,63.0,62.0,66.0,57.0,72.0,68.0
5976,RM,22.0,69.0,1.0,0.0,69.0,152.0,71.0,59.0,34.0,69.0,37.0,69.0,49.0,36.0,67.0,71.0,79.0,77.0,76.0,62.0,71.0,62.0,75.0,70.0,61.0,51.0,70.0,24.0,58.0,53.0,55.0,57.0,49.0,45.0,47.0
5978,CAM,34.0,69.0,0.0,0.0,70.0,165.0,69.0,65.0,63.0,68.0,64.0,67.0,60.0,61.0,61.0,69.0,63.0,67.0,67.0,71.0,71.0,73.0,71.0,74.0,70.0,72.0,78.0,60.0,71.0,69.0,66.0,62.0,43.0,53.0,48.0
5980,CM,28.0,69.0,0.0,2.0,72.0,181.0,41.0,34.0,58.0,63.0,34.0,54.0,38.0,40.0,60.0,65.0,54.0,57.0,60.0,72.0,68.0,59.0,56.0,80.0,85.0,36.0,77.0,68.0,39.0,45.0,46.0,60.0,70.0,72.0,66.0
5982,GK,36.0,69.0,0.0,0.0,75.0,185.0,16.0,15.0,16.0,26.0,16.0,12.0,13.0,13.0,27.0,22.0,38.0,35.0,46.0,70.0,48.0,23.0,64.0,34.0,60.0,15.0,38.0,28.0,11.0,47.0,22.0,41.0,22.0,14.0,13.0
5984,CDM,29.0,69.0,0.0,0.0,75.0,179.0,66.0,66.0,71.0,66.0,64.0,63.0,50.0,52.0,64.0,67.0,55.0,59.0,57.0,69.0,54.0,70.0,85.0,80.0,77.0,60.0,80.0,65.0,65.0,60.0,69.0,73.0,68.0,70.0,64.0
5986,LM,28.0,69.0,0.0,0.0,65.0,146.0,68.0,65.0,45.0,67.0,54.0,66.0,57.0,52.0,65.0,67.0,80.0,82.0,85.0,57.0,86.0,68.0,70.0,72.0,55.0,67.0,56.0,28.0,66.0,64.0,54.0,64.0,58.0,34.0,32.0
5988,ST,28.0,69.0,0.0,0.0,73.0,174.0,41.0,73.0,75.0,61.0,58.0,63.0,39.0,34.0,53.0,65.0,60.0,69.0,55.0,57.0,56.0,71.0,71.0,64.0,75.0,66.0,59.0,25.0,72.0,43.0,66.0,56.0,19.0,22.0,19.0
5990,ST,30.0,69.0,0.0,0.0,72.0,172.0,66.0,68.0,59.0,67.0,63.0,69.0,65.0,59.0,59.0,62.0,74.0,78.0,67.0,68.0,64.0,72.0,75.0,71.0,76.0,71.0,75.0,40.0,71.0,62.0,52.0,70.0,40.0,40.0,26.0
5991,LB,29.0,69.0,1.0,0.0,72.0,174.0,69.0,45.0,69.0,66.0,22.0,60.0,53.0,32.0,62.0,65.0,69.0,68.0,65.0,66.0,67.0,56.0,71.0,69.0,72.0,26.0,71.0,68.0,49.0,54.0,31.0,65.0,67.0,68.0,69.0
5992,RB,28.0,69.0,0.0,0.0,69.0,157.0,67.0,45.0,58.0,68.0,43.0,67.0,65.0,58.0,64.0,69.0,68.0,62.0,70.0,68.0,73.0,60.0,70.0,70.0,68.0,59.0,69.0,69.0,68.0,69.0,61.0,70.0,65.0,70.0,70.0
5993,CDM,32.0,69.0,0.0,1.0,70.0,161.0,40.0,37.0,64.0,67.0,36.0,53.0,35.0,37.0,65.0,63.0,68.0,71.0,67.0,65.0,61.0,68.0,72.0,76.0,75.0,48.0,77.0,72.0,39.0,49.0,46.0,65.0,68.0,70.0,67.0
5994,CM,29.0,69.0,0.0,1.0,75.0,183.0,66.0,62.0,57.0,68.0,59.0,70.0,55.0,58.0,67.0,68.0,69.0,78.0,55.0,67.0,49.0,73.0,70.0,82.0,79.0,68.0,85.0,68.0,64.0,66.0,64.0,67.0,63.0,68.0,67.0
5996,RM,25.0,69.0,0.0,0.0,71.0,163.0,65.0,54.0,54.0,68.0,58.0,69.0,67.0,62.0,64.0,69.0,76.0,86.0,93.0,65.0,78.0,68.0,57.0,75.0,71.0,60.0,43.0,49.0,61.0,63.0,60.0,76.0,50.0,47.0,48.0
5997,LB,28.0,69.0,1.0,0.0,72.0,179.0,58.0,54.0,76.0,54.0,46.0,54.0,59.0,57.0,56.0,63.0,68.0,74.0,67.0,72.0,46.0,64.0,74.0,75.0,90.0,55.0,70.0,76.0,53.0,52.0,52.0,63.0,60.0,68.0,71.0
5999,LB,31.0,69.0,1.0,1.0,67.0,170.0,66.0,52.0,51.0,68.0,53.0,72.0,65.0,60.0,59.0,67.0,82.0,79.0,86.0,71.0,74.0,69.0,89.0,77.0,66.0,62.0,70.0,66.0,69.0,66.0,64.0,59.0,66.0,65.0,65.0
6000,RB,19.0,69.0,0.0,1.0,70.0,154.0,69.0,36.0,54.0,62.0,31.0,71.0,32.0,31.0,56.0,68.0,84.0,79.0,79.0,65.0,85.0,56.0,84.0,67.0,50.0,32.0,68.0,67.0,63.0,55.0,39.0,66.0,61.0,68.0,68.0
6001,GK,34.0,69.0,0.0,0.0,72.0,179.0,12.0,12.0,14.0,27.0,10.0,14.0,15.0,15.0,24.0,20.0,42.0,40.0,53.0,66.0,44.0,20.0,75.0,26.0,62.0,15.0,26.0,9.0,7.0,28.0,21.0,44.0,8.0,12.0,11.0
6002,LM,24.0,69.0,0.0,0.0,70.0,143.0,67.0,67.0,41.0,69.0,60.0,73.0,66.0,67.0,67.0,71.0,75.0,74.0,68.0,61.0,78.0,68.0,47.0,59.0,46.0,66.0,36.0,20.0,65.0,62.0,56.0,59.0,18.0,21.0,22.0
6003,LB,26.0,69.0,1.0,0.0,70.0,148.0,73.0,51.0,49.0,71.0,59.0,66.0,72.0,73.0,70.0,70.0,70.0,70.0,71.0,65.0,74.0,80.0,63.0,64.0,56.0,67.0,69.0,70.0,58.0,54.0,46.0,61.0,63.0,72.0,71.0
6004,RB,35.0,69.0,0.0,1.0,69.0,159.0,72.0,49.0,61.0,74.0,48.0,68.0,57.0,45.0,65.0,71.0,50.0,53.0,69.0,72.0,74.0,63.0,71.0,49.0,62.0,55.0,72.0,72.0,54.0,55.0,57.0,75.0,78.0,73.0,69.0
6005,LB,25.0,69.0,1.0,1.0,69.0,161.0,53.0,26.0,57.0,62.0,28.0,57.0,31.0,33.0,35.0,65.0,59.0,65.0,65.0,74.0,68.0,40.0,91.0,77.0,68.0,23.0,56.0,61.0,47.0,34.0,43.0,65.0,70.0,76.0,82.0
6007,LM,21.0,69.0,1.0,1.0,71.0,174.0,55.0,69.0,64.0,65.0,51.0,69.0,54.0,34.0,57.0,68.0,90.0,92.0,86.0,65.0,78.0,67.0,65.0,69.0,72.0,63.0,31.0,14.0,62.0,57.0,62.0,55.0,26.0,22.0,22.0
6009,RB,31.0,69.0,0.0,0.0,70.0,161.0,60.0,40.0,63.0,62.0,28.0,60.0,49.0,38.0,55.0,63.0,65.0,57.0,53.0,65.0,70.0,32.0,83.0,72.0,66.0,39.0,80.0,73.0,56.0,57.0,38.0,63.0,72.0,74.0,73.0
6010,GK,31.0,69.0,0.0,0.0,76.0,190.0,13.0,12.0,13.0,13.0,14.0,13.0,14.0,14.0,14.0,14.0,41.0,44.0,38.0,70.0,26.0,15.0,66.0,37.0,64.0,15.0,23.0,22.0,12.0,22.0,18.0,53.0,16.0,15.0,13.0
6011,CDM,29.0,69.0,0.0,1.0,71.0,159.0,59.0,46.0,59.0,70.0,47.0,60.0,61.0,57.0,65.0,66.0,44.0,37.0,45.0,71.0,64.0,66.0,83.0,57.0,72.0,60.0,78.0,71.0,53.0,65.0,55.0,68.0,68.0,69.0,68.0
6012,CB,28.0,69.0,0.0,1.0,74.0,174.0,28.0,30.0,62.0,67.0,28.0,58.0,31.0,26.0,66.0,62.0,64.0,67.0,64.0,67.0,58.0,47.0,80.0,71.0,75.0,25.0,67.0,70.0,33.0,50.0,41.0,64.0,65.0,67.0,66.0
6013,CB,27.0,69.0,0.0,0.0,74.0,187.0,43.0,31.0,71.0,56.0,44.0,33.0,34.0,32.0,55.0,60.0,54.0,51.0,44.0,64.0,46.0,62.0,61.0,65.0,81.0,37.0,77.0,64.0,47.0,50.0,21.0,62.0,68.0,68.0,65.0
6014,LM,25.0,69.0,0.0,0.0,71.0,165.0,66.0,61.0,46.0,72.0,40.0,70.0,61.0,54.0,68.0,71.0,68.0,65.0,72.0,63.0,68.0,65.0,65.0,75.0,64.0,60.0,45.0,52.0,66.0,69.0,44.0,66.0,56.0,46.0,44.0
6015,GK,37.0,69.0,0.0,2.0,76.0,196.0,15.0,11.0,11.0,46.0,14.0,14.0,12.0,12.0,43.0,29.0,31.0,43.0,36.0,66.0,41.0,28.0,45.0,32.0,64.0,16.0,37.0,23.0,14.0,47.0,46.0,55.0,12.0,13.0,12.0
6016,RM,25.0,69.0,1.0,1.0,69.0,143.0,68.0,57.0,37.0,69.0,63.0,69.0,59.0,67.0,65.0,70.0,74.0,73.0,81.0,68.0,75.0,66.0,53.0,62.0,62.0,57.0,50.0,32.0,68.0,73.0,58.0,67.0,33.0,27.0,25.0
6017,ST,24.0,69.0,0.0,0.0,73.0,181.0,68.0,69.0,65.0,68.0,72.0,70.0,59.0,49.0,56.0,74.0,77.0,76.0,75.0,54.0,66.0,69.0,71.0,72.0,67.0,59.0,42.0,11.0,70.0,70.0,69.0,68.0,15.0,11.0,18.0
6018,LM,29.0,69.0,0.0,1.0,71.0,157.0,70.0,67.0,51.0,71.0,65.0,68.0,72.0,66.0,69.0,69.0,71.0,71.0,69.0,63.0,70.0,71.0,54.0,70.0,56.0,69.0,67.0,35.0,64.0,66.0,66.0,61.0,51.0,31.0,25.0
6019,CM,24.0,69.0,1.0,0.0,70.0,161.0,64.0,66.0,49.0,72.0,52.0,66.0,60.0,56.0,71.0,69.0,67.0,67.0,66.0,63.0,58.0,70.0,66.0,73.0,64.0,65.0,63.0,64.0,60.0,69.0,66.0,71.0,43.0,65.0,60.0
